"version","package","class"
"5","GT-Spotter","GTFilter"
"5","Refactoring-Environment","RBCategoryEnvironment"
"5","Rubric","RubSmalltalkCodeMode"
"5","Rubric","RubScrolledTextModel"
"5","Refactoring-Environment","RBBrowserEnvironmentWrapper"
"5","Rubric","RubTextEditor"
"5","Rubric","RubConfigurationChange"
"5","Rubric","RubReturnEntered"
"5","Rubric","RubFindReplaceDialogWindow"
"5","Rubric","RubTextAccepted"
"5","Rubric","RubTextUpdatedInModel"
"5","Morphic-Widgets-Windows","WindowAnnouncement"
"5","Rubric","RubEditingState"
"5","Rubric","RubPluggableGetMenuPolicy"
"5","Refactoring-Environment","RBPackageEnvironment"
"5","Morphic-Widgets-Windows","WindowClosed"
"5","Rubric","RubSmalltalkScriptingMode"
"5","Rubric","RubParagraphDecorator"
"5","Rubric","RubAnnotationDisplayer"
"5","Rubric","RubScrolledTextSideRuler"
"5","Rubric","RubParagraph"
"5","Rubric","RubEditingMode"
"5","Morphic-Base","DropFilesEvent"
"5","Rubric","RubGetMenuPolicy"
"5","Rubric","RubEditingArea"
"5","Rubric","RubPositionChanged"
"5","Refactoring-Environment","RBVariableEnvironment"
"5","Rubric","RubCodeSizeFeedback"
"5","Rubric","RubPluggableTextMorph"
"5","Rubric","RubBoundsChanged"
"5","Rubric","RubTextStopConditions"
"5","Morphic-Widgets-Windows","WindowScrolling"
"5","Rubric","RubLineNumberDisplayer"
"5","Rubric","RubKeystroke"
"5","Refactoring-Environment","RBPragmaEnvironment"
"5","GT-Spotter","GTStringFilter"
"5","Refactoring-Environment","RBAndEnvironment"
"5","Refactoring-Environment","RBClassEnvironment"
"5","Deprecated50","NBExternalUnion"
"5","Rubric","RubCharacterScanner"
"5","Rubric","RubPrimarySelectionMorph"
"5","Refactoring-Environment","RBNotEnvironment"
"5","Rubric","RubCursor"
"5","Rubric","RubAnnouncement"
"5","Rubric","RubShoutStylerDecorator"
"5","Rubric","RubPlainTextMode"
"5","Rubric","RubFindReplaceService"
"5","Morphic-Widgets-Windows","WindowOpened"
"5","Deprecated50","NBExternalStructureFields"
"5","Rubric","RubTextSetInModel"
"5","Rubric","RubFindReplaceWindowRequired"
"5","Morphic-Widgets-Windows","WindowMoved"
"5","Rubric","RubTextFieldMorph"
"5","Rubric","RubExtentChanged"
"5","Slot-Tests","SlotSilentTest"
"5","Rubric","RubMouseClick"
"5","Rubric","RubTextAcceptRequest"
"5","Rubric","RubTextComposer"
"5","Refactoring-Environment","RBBrowserEnvironment"
"5","Rubric","RubMorphAnnouncement"
"5","Rubric","RubTextStyleChanged"
"5","Morphic-Widgets-Windows","CollapsedMorph"
"5","Refactoring-Environment","RBProtocolEnvironment"
"5","Rubric","RubOpeningClosingDelimiterDecorator"
"5","Rubric","RubTextLine"
"5","Rubric","RubSelectionChanged"
"5","Morphic-Widgets-Windows","WindowLabelled"
"5","Refactoring-Environment","RBSelectorEnvironment"
"5","NautilusCommon","AnnotationRequest"
"5","Rubric","RubTextScrollPane"
"5","Rubric","RubPrimarySelectionUpdatedInModel"
"5","Morphic-Widgets-Windows","WindowResizing"
"5","Rubric","RubTextAcceptedInModel"
"5","Rubric","RubTextChanged"
"5","Refactoring-Environment","RBOrEnvironment"
"5","Rubric","RubSmalltalkEditor"
"5","Rubric","RubFindTextChanged"
"5","Rubric","RubScrollBar"
"5","Rubric","RubCompositionScanner"
"3","RPackage-Tests","RPackageCompleteSetupButForModificationTest"
"3","AST-Tests-Core","RBProgramNodeTest"
"3","KernelTests","CodeSimulationTests"
"3","CollectionsTests","SmallDictionaryTest"
"3","Monticello","MCMergeResolutionRequest"
"3","RecentSubmissions","MessageListInspectableNode"
"3","KernelTests","PoolDefiner2"
"3","CollectionsTests","LiteralDictionaryTest"
"3","SUnit-Tests","SUnitExtensionsTest"
"3","Compression","TarArchiveMember"
"3","HelpSystem-Tests","HelpIconsTest"
"3","Polymorph-Widgets","AnimationSettings"
"3","RPackage-SystemIntegration","ClassRepackaged"
"3","KernelTests","ClassTest"
"3","CompilerTests","MethodNodeTest"
"3","Spec-Tools","StringApiSetter"
"3","Text-Edition","EditorFindReplaceDialogWindow"
"3","Morphic-Examples","PackageAbstractNodeExample"
"3","Settings-Polymorph","TaskbarSystemSettings"
"3","Monticello","MCDirtyPackageInfo"
"3","KernelTests","LargeNegativeIntegerTest"
"3","Monticello","MCSmalltalkhubRepository"
"3","Keymapping-Tests","KMMockMorph"
"3","CollectionsTests","StackTest"
"3","RPackage-Tests","RPackageCategorySynchronisationTest"
"3","FreeType","FreeTypeCacheLinkedList"
"3","FileSystem-Tests-Core","AbstractEnumerationVisitorTest"
"3","FileSystem-Core","IllegalName"
"3","Monticello","MCCacheRepository"
"3","CollectionsTests","MockExceptionWithPassAction"
"3","FreeType","FreeTypeFontFamily"
"3","System-Platforms","UnixPlatform"
"3","GroupManagerUI","DialogGroupAdder"
"3","AsmJit-Core","AJConstants"
"3","Fuel","FLNegative24SmallIntegerCluster"
"3","Monticello","MCDictionaryRepository"
"3","FileSystem-Tests-Core","DeleteVisitorTest"
"3","Ring-Tests-Containers","RGNamespaceTest"
"3","Morphic-Core","UserInputEvent"
"3","System-Installers","MczInstaller"
"3","ToolsTest","PointerFinderTest"
"3","AsmJit-StackManagement","AJRoutineStackManager"
"3","Ring-Tests-Containers","RGSliceTest"
"3","Tools","FileListGrid"
"3","GroupManagerUI","ItemNode"
"3","FileSystem-Tests-Core","InteractiveResolverTest"
"3","KernelTests","JobTest"
"3","Settings-Polymorph","TaskListSystemSettings"
"3","Manifest-CriticBrowser","ManifestManifestCriticBrowser"
"3","FileSystem-Tests-Core","FileSystemTreeTest"
"3","FileSystem-Tests-Core","GuideTest"
"3","KernelTests","MyTestError"
"3","Refactoring-Critics","RBAsOrderedCollectionNotNeededRule"
"3","Deprecated30","MailSender"
"3","Morphic-Examples","PackageNodeExample"
"3","Nautilus","MultipleMethodsEditorAllButtonModel"
"3","Compression","ZLibReadStream"
"3","System-Platforms","Win32Platform"
"3","System-Changes","CurrentChangeSetChanged"
"3","CollectionsTests","FIFOQueueTests"
"3","KernelTests","BehaviorTest"
"3","Fuel","ManifestFuel"
"3","Tools","DynamicMessageImplementor"
"3","Monticello","MCClassTraitDefinition"
"3","FuelTests","FLVersionTest"
"3","Compiler","LiteralVariableNode"
"3","Gofer-Tests","GoferTest"
"3","Refactoring-Critics","RBSmalllintChecker"
"3","CollectionsTests","VileFinalizer"
"3","KernelTests","PoolDefiner"
"3","Fuel","FLNegative32SmallIntegerCluster"
"3","Gofer-Core","GoferLoad"
"3","Keymapping-KeyCombinations","KMCtrlModifier"
"3","Deprecated30","UnknownSystemChange"
"3","Monticello","MCSqueaksourceRepository"
"3","AsmJit-Operands","AJOperand"
"3","Refactoring-Critics","RBUnwindBlocksRule"
"3","Refactoring-Critics","RBCodeCruftLeftInMethodsRule"
"3","Collections-Arithmetic","CollectionsArithmeticReadme"
"3","HelpSystem-Tests","CustomHelpTest"
"3","SUnit-Tests","SimpleTestResourceA2"
"3","CompilerTests","ClosureTests"
"3","Text-Tests","TextKernTest"
"3","Fuel","FLPositive16SmallIntegerCluster"
"3","Ring-Tests-Kernel","RGCommentDefinitionTest"
"3","KernelTests","MethodPragmaTest"
"3","MonticelloGUI","MCMergeBrowser"
"3","Kernel","NonBooleanReceiver"
"3","Refactoring-Critics","RBSuperSendsRule"
"3","RPackage-Tests","RPackageMethodsSynchronisationTest"
"3","GroupManager","AGroupHasBeenRemoved"
"3","FuelTests","FLSignatureTest"
"3","FuelTests","FLSingletonMock"
"3","System-Support","ExternalDropHandler"
"3","Gofer-Tests","GoferReferenceTest"
"3","Gofer-Core","GoferConfigurationReference"
"3","Refactoring-Critics","RBAssignmentInIfTrueRule"
"3","KernelTests","ExceptionTests"
"3","Monticello","MCMock"
"3","ToolsTest","OpenToolTest"
"3","Gofer-Core","GoferMerge"
