"version","package","class"
"5","Rubric","RubSHTextStylerST80"
"5","TxText-Model","TxCharacterStream"
"5","Deprecated50","NBExternalArray"
"5","Refactoring-Critics","RBEqualNilRule"
"5","TxText-Model","TxTextStyles"
"5","AST-FFI-Pharo50Compatibility","ShortRunArray"
"5","Kernel","DelayExperimentalCourageousScheduler"
"5","TxText-Model","TxTextPosition"
"5","Deprecated50","NBFFICallback"
"5","Kernel","MethodDictionary"
"5","Polymorph-Widgets","ThemeIcons"
"5","Zinc-HTTP","ZnCurrentServer"
"5","Nautilus","PackageTreeGroupSelection"
"5","TxText-Model","TxStyle"
"5","NautilusCommon","NautilusProtocolSelected"
"5","TxText-Athens","TxViewContainer"
"5","TxText-Model","TxTextCursor"
"5","OSWindow-SDL2","OSSDL2WindowHandle"
"5","Spec-Core","TabModel"
"5","Komitter","KomitObject"
"5","TxText-Model","TxBackColorAttribute"
"5","Kernel-Tests","ManifestKernelTests"
"5","Kernel","DelayExperimentalSpinScheduler"
"5","Kernel","Margin"
"5","Metacello-Base","BaselineOf"
"5","Nautilus","AbstractWidget"
"5","Deprecated50","NBExternalEnumeration"
"5","Text-Edition","EditingState"
"5","Zinc-Character-Encoding-Core","ZnNullEncoder"
"5","Komitter","KomitMethod"
"5","TxText-Model","TxFontAttribute"
"5","TxText-Model","TxBasicTextPosition"
"5","System-Caching","DoubleLinkedList"
"5","Collections-Sequenceable","LinkedList"
"5","Nautilus","Nautilus"
"5","Refactoring-Critics","RBAssignmentInIfTrueRule"
"5","Polymorph-Widgets","UITheme"
"5","Collections-Sequenceable","OrderedCollection"
"5","Kernel","Point"
"5","Nautilus","PackageTreeModel"
"5","NautilusCommon","NautilusClassSelected"
"5","DebuggerActions","DebugActionExecuted"
"5","Collections-Sequenceable","OrderedIdentityDictionary"
"5","Pharo-Help","PharoEnvironmentHelp"
"5","Collections-Unordered","Dictionary"
"5","Deprecated50","NBExternalTypeValue"
"5","TxText-Athens","TxBlockCursor"
"5","TxText-Athens","TxAthensCharacterWrappingStrategy"
"5","Nautilus","ClassOrMethodDefinitionAcceptor"
"5","NonInteractiveTranscript","NonInteractiveTranscript"
"5","Deprecated50","NBExternalObject"
"5","Spec-MorphicAdapters","WorldModel"
"5","System-Support","SystemDictionary"
"5","Collections-Sequenceable","SortedCollection"
"5","TxText-Athens","TxWrappingMorph"
"5","HudsonBuildTools20","TestCommandLineHandler"
"5","TxText-Model","TxBasicSpan"
"5","MonticelloGUI","MCTool"
"5","Refactoring-Critics","RBFileBlocksRule"
"5","Zinc-HTTP","ZnCurrentServerSession"
"5","Athens-Morphic","AthensWrapMorph"
"5","Collections-Sequenceable","OrderedDictionary"
"5","Komitter","KomitClass"
"5","Nautilus","AbstractNautilusUI"
"5","Morphic-Examples","WidgetExamples"
"5","Zinc-HTTP","ZnDefaultServerDelegate"
"5","Nautilus","MethodIsScriptAction"
"5","ProfStef-Core","LessonView"
"5","TxText-Model","TxModel"
"5","OSWindow-SDL2","SDL_Renderer"
"5","Nautilus","PackageWidget"
"5","TxText-Model","TxLineSeparator"
"5","Komitter","Komitter"
"5","Tool-Workspace","Workspace"
"5","Refactoring-Critics","RBGuardClauseRule"
"5","Jobs","Job"
"5","ProfStef-Core","ProfStef"
"5","Nautilus","CategoryWidget"
"5","Refactoring-Critics","RBSentNotImplementedRule"
"5","System-FileRegistry","FileServices"
"5","Transcript","ThreadSafeTranscript"
"5","Deprecated50","NBExternalStructure"
"5","TxText-Model","TxEmbeddedObjectSpan"
"5","TxText-Athens","TxAthensLayoutView"
"5","Nautilus","ClassWidget"
"5","TxText-Model","TxTerminalSpan"
"5","Collections-Streams","Generator"
"5","NewValueHolder","NewValueHolder"
"5","NautilusCommon","NautilusPackageSelected"
"5","Compiler","EncoderForSistaV1"
"5","Collections-Sequenceable","Array"
"5","Deprecated50","NBExternalAddress"
"5","Nautilus","MethodWidget"
"5","Collections-Sequenceable","Interval"
"5","Rubric","RubAdornmentDisplayer"
"5","Spec-Core","RadioButtonGroup"
"5","ProfStef-Core","HowToMakeYourOwnTutorial"
"5","Komitter","KomitDefinition"
"5","TxText-Model","TxActionAttribute"
"5","Kernel","ManifestKernel"
"5","TxText-Model","TxForeColorAttribute"
"5","NautilusCommon","NautilusMethodSelected"
"5","Nautilus","AbstractMethodIconAction"
"5","Collections-Unordered","PluggableDictionary"
"5","GT-Spotter","GTSpotter"
"5","Random-Core","Random"
"5","TxText-Athens","TxTextEditor"
"5","Rubric","RubScrolledTextMorph"
"7","Deprecated70","EpLogBrowserToolbarModel"
"7","NECompletion","NECTypedModel"
"7","TraitsV2-Compatibility","ClassTrait"
"7","System-Platforms","ManifestSystemPlatforms"
"7","NECompletion-Tests","SHParserST80Test"
"7","Iceberg","IceCommitish"
"7","Tool-DependencyAnalyser","DADependentPackageWrapper"
"7","Text-Tests","TextAndTextStreamTest"
"7","Iceberg","IceGitUsernameOrEmailNotFound"
"7","System-Object Events","ManifestSystemObjectEvents"
"7","GeneralRules","RBTrueFalseDuplicationRule"
"7","CodeExport","ManifestCodeExport"
"7","Spec-Inspector","ManifestSpecInspector"
"7","Spec-MorphicAdapters","MorphicRadioButtonAdapter"
"7","Jobs","ManifestJobs"
"7","Spec-Deprecated","LabelModel"
"7","Files","Stdio"
"7","AST-Core","ManifestASTCore"
"7","BaselineOfIDE","BaselineOfIDE"
"7","Tool-Base","HistoryCollection"
"7","GT-BytecodeDebugger","GTGoAndInspectBytecodeDebugAction"
"7","FileSystem-Disk","FileHandle"
"7","Network-UUID","UUID"
"7","Spec-Deprecated","ListModel"
"7","Spec-Core","AbstractAdapter"
"7","TraitsV2-Compatibility","TraitExclusion"
"7","Iceberg-Libgit-Filetree","IceLibgitFiletreeLog"
"7","Reflectivity","ManifestReflectivity"
"7","Epicea","EpLog"
"7","Text-Edition","Editor"
"7","System-OSEnvironments","Win32Environment"
"7","Collections-Tests","ManifestCollectionsTests"
"7","Spec-Deprecated","DropListModel"
"7","Iceberg","IceUndefinedRemote"
"7","GeneralRules","RBLongMethodsRule"
"7","Spec-Deprecated","TickingWindowModel"
"7","PharoDocComment","ManifestPharoDocComment"
"7","Iceberg","IceUnbornBranch"
"7","Spec-MorphicAdapters","MorphicTextAdapter"
"7","Tool-DependencyAnalyser","DAPackageDependencyWrapper"
"7","Slot-Core","Slot"
"7","Multilingual-Encodings","ManifestMultilingualEncodings"
"7","DeprecatedFileStream","FileStream"
"7","System-OSEnvironments","UnixEnvironment"
"7","System-FileRegistry","FileModifyingSimpleServiceEntry"
"7","OSWindow-SDL2","OSSDL2WindowHandle"
"7","Regex-Core","ManifestRegexCore"
"7","Files","File"
"7","OSWindow-Core","OSWindow"
"7","System-Sources","ManifestSystemSources"
"7","GT-Debugger","ManifestGTDebugger"
"7","Spec-Deprecated","TabModel"
"7","Spec-MorphicAdapters","MorphicDiffAdapter"
"7","Collections-Atomic","AtomicQueueItem"
"7","SortFunctions-Core","ChainedSortFunction"
"7","Spec-MorphicAdapters","MorphicTabManagerAdapter"
"7","Spec-MorphicAdapters","MorphicMenuItemAdapter"
"7","TraitsV2-Compatibility","TraitMethodDescription"
"7","Kernel-Tests","DateTest"
"7","Reflectivity-Examples","CoverageDemo"
"7","Kernel-Tests","ManifestKernelTests"
"7","Collections-Unordered","ManifestCollectionsUnordered"
"7","Collections-Atomic","AtomicSharedQueue"
"7","Graphics-Tests","PointTest"
"7","Deprecated70","EpLogBrowserModel"
"7","Reflectivity","RFLiteralVariableNode"
"7","Spec-Tests","ManifestSpecTests"
"7","Files","FileDoesNotExistException"
"7","Spec-Help","ManifestSpecHelp"
"7","Spec-MorphicAdapters","ManifestSpecMorphicAdapters"
"7","Iceberg","IceWorkingCopy"
"7","Spec-Deprecated","RadioButtonModel"
"7","Spec-MorphicAdapters","MorphicCheckBoxAdapter"
"7","AST-Core","ASTCache"
"7","Kernel","Metaclass"
"7","Spec-Deprecated","TabManagerModel"
"7","Collections-Atomic","AtomicCollection"
"7","Spec-Deprecated","TreeModel"
"7","Kernel-Tests","DateAndTimeLeapTest"
"7","Spec-MorphicAdapters","MorphicButtonAdapter"
"7","Morphic-Base","JobProgressBarMorph"
"7","Deprecated70","Pharo3DarkTheme"
"7","MonticelloGUI","ManifestMonticelloGUI"
"7","Graphics-Tests","FormTest"
"7","TraitsV2-Compatibility","TraitDescription"
"7","System-Support","ManifestSystemSupport"
"7","NECompletion","NOCCompletionTable"
"7","BaselineOfBasicTools","BaselineOfBasicTools"
"7","BaselineOfUI","BaselineOfUI"
"7","Shout-Tests","SHStyleElementTest"
"7","GeneralRules","RBRefersToClassRule"
"7","Collections-Stack","ManifestCollectionsStack"
"7","Spec-MorphicAdapters","MorphicTabAdapter"
"7","CodeImportCommandLineHandlers","STCommandLineHandler"
"7","Announcements-Core","ManifestAnnouncementsCore"
"7","Ring-Deprecated-Monticello","ManifestRingMonticello"
"7","Transcript-Tool","ManifestToolTranscript"
"7","Spec-Examples","ListSelectionModel"
"7","Spec-Examples","OpenOnNilExample"
"7","Iceberg-TipUI","SwappedColorDiffMorph"
"7","System-VMEvents","ManifestSystemVMEvents"
"7","OpalCompiler-Core","OpalCompiler"
"7","Colors","ColorMap"
"7","Ring-Deprecated-Core-Kernel","ManifestRingCoreKernel"
"7","Deprecated70","EpDashboardModel"
"7","Spec-Deprecated","TransferModel"
"7","Graphics-Files","JPEGReadWriter"
"7","Random-Core","ManifestRandomCore"
"7","Iceberg","IceBranch"
"7","Spec-Deprecated","AbstractFormButtonModel"
"7","Graphics-Files","ImageReadWriter"
"7","Tool-DependencyAnalyser-UI","DAPackageAnalyzerPackageDependenciesWindow"
"7","Spec-Deprecated","PickListModel"
"7","Kernel","ProcessorScheduler"
"7","Graphics-Files","GIFReadWriter"
"7","Refactoring-Changes","RBRefactoryClassChange"
"7","Spec-Deprecated","DialogWindowModel"
"7","Iceberg-Plugin","IcePluginManager"
"7","Tool-DependencyAnalyser-UI","DAMethodDependencyNode"
"7","Spec-PolyWidgets","SearchableList"
"7","Collections-Weak","ManifestCollectionsWeak"
"7","UIManager","NonInteractiveUIManager"
"7","Spec-Deprecated","RadioButtonGroupModel"
"7","Files","StdioStream"
"7","Deprecated70","GlamourPresentationModel"
"7","FileSystem-Path","Path"
"7","Pharo-Help","PharoEnvironmentHelp"
"7","Spec-MorphicAdapters","MorphicTickingWindowAdapter"
"7","Network-UUID","ManifestNetworkUUID"
"7","Collections-Unordered","Dictionary"
"7","Tool-DependencyAnalyser-UI","DAPackageAnalyzerCycleDetectionWindow"
"7","Spec-Deprecated","TreeColumnModel"
"7","Collections-Native","ManifestCollectionsNative"
"7","Spec-MorphicAdapters","MorphicIconListAdapter"
"7","Colors","ManifestColors"
"7","Spec-MorphicAdapters","MorphicTreeColumnAdapter"
"7","Transcript-Core","ManifestTranscript"
"7","OpalCompiler-Core","OCExtraBindingScope"
"7","Manifest-Core","ManifestManifestCore"
"7","Iceberg","IceRepository"
"7","Spec-MorphicAdapters","MorphicMultiColumnListAdapter"
"7","Spec-Deprecated","WorldModel"
"7","Collections-Atomic","LIFOQueue"
"7","System-OSEnvironments","OSEnvironment"
"7","System-CommandLineHandler","ManifestSystemCommandLineHandler"
"7","Zinc-FileSystem","ZnFileSystemUtils"
"7","Collections-Sequenceable","ManifestCollectionsSequenceable"
"7","Spec-Deprecated","WindowModel"
"7","Files","AbstractBinaryFileStream"
"7","System-Hashing","SHA1"
"7","Collections-Streams","ManifestCollectionsStreams"
"7","Slot-Core","TemporaryVariable"
"7","Spec-MorphicAdapters","MorphicFastTableAdapter"
"7","Collections-Abstract","ManifestCollectionsAbstract"
"7","SUnit-Core","TestTookTooMuchTime"
"7","JenkinsTools-Core","TestCommandLineHandler"
"7","Files","ManifestFiles"
"7","Spec-Deprecated","TextInputFieldModel"
"7","Iceberg","IceRemote"
"7","Spec-MorphicAdapters","MorphicMenuAdapter"
"7","Slot-Core","ByteLayout"
"7","Kernel","AdditionalMethodState"
"7","Gofer-Tests","GoferTest"
"7","System-VMEvents","EventSensorConstants"
"7","Spec-MorphicAdapters","MorphicDialogWindowAdapter"
"7","TraitsV2-Compatibility","TraitComposition"
"7","Deprecated70","CurrentImage"
"7","Spec-Deprecated","MenuGroupModel"
"7","Slot-Core","UndeclaredVariable"
"7","PharoBootstrap-Initialization","PharoBootstrapInitialization"
"7","TraitsV2-Compatibility","TraitAlias"
"7","System-Changes","ManifestSystemChanges"
"7","Spec-MorphicAdapters","MorphicMenuGroupAdapter"
"7","SUnit-UI","TestReviver"
"7","CodeImport","ManifestCodeImport"
"7","Tool-Finder","MethodFinder"
"7","MonticelloGUI","MCChangeSelector"
"7","Spec-MorphicAdapters","MorphicSliderAdapter"
"7","Graphics-Primitives","ManifestGraphicsPrimitives"
"7","Monticello","ManifestMonticello"
"7","Multilingual-Languages","ManifestMultilingualLanguages"
"7","TraitsV2-Compatibility","TraitTransformation"
"7","Spec-Deprecated","TreeNodeModel"
"7","Slot-Core","WordLayout"
"7","BaselineOfMorphic","BaselineOfMorphic"
"7","Spec-Deprecated","DiffModel"
"7","Spec-MorphicAdapters","MorphicLabelAdapter"
"7","Spec-Examples","RadioButtonGroupExample"
"7","Tools-Test","MethodFinderTest"
"7","Spec-Deprecated","FastTableModel"
"7","DebuggerModel","DebugSession"
"7","Collections-Atomic","ManifestCollectionsAtomic"
"7","Deprecated70","Pharo3Theme"
"7","BaselineOfMorphicCore","BaselineOfMorphicCore"
"7","UnifiedFFI","FFISizeT"
"7","Colors","Color"
"7","Transcript-NonInteractive","ManifestNonInteractiveTranscript"
"7","Deprecated70","AthensMorphicGradientPaint"
"7","Jobs","Job"
"7","Collections-Arithmetic","ManifestCollectionsArithmetic"
"7","Spec-Deprecated","CheckBoxModel"
"7","Spec-Deprecated","TextModel"
"7","Ring-Deprecated-ChunkImporter","ManifestRingChunkImporter"
"7","Announcements-Core","Announcement"
"7","Athens-Examples","AthensDemoMorph"
"7","Spec-Deprecated","TableContainerModel"
"7","Tool-DependencyAnalyser","ManifestToolDependencyAnalyser"
"7","Text-Core","ManifestTextCore"
"7","Multilingual-TextConversion","ManifestMultilingualTextConversion"
"7","Graphics-Files","BMPReadWriter"
"7","Kernel-Tests","IntegerTest"
"7","UIManager","ManifestUIManager"
"7","MonticelloTonel-Core","TonelWriter"
"7","Graphics-Display Objects","ManifestGraphicsDisplayObjects"
"7","SUnit-Core","ManifestSUnitCore"
"7","Collections-Atomic","WaitfreeQueue"
"7","Zinc-Character-Encoding-Core","ZnNewLineWriterStream"
"7","Deprecated70","EpUnifiedBrowserModel"
"7","Tool-DependencyAnalyser-UI","DAPackageAnalyzerWindow"
"7","FileSystem-Disk","ManifestFileSystemDisk"
"7","Zinc-Character-Encoding-Core","ZnBase64Encoder"
"7","Kernel","Date"
"7","Morphic-Widgets-Pluggable","ManifestMorphicWidgetsPluggable"
"7","Compression","ManifestCompression"
"7","IssueTracking","ManifestIssueTracking"
"7","Spec-Deprecated","MultiColumnListModel"
"7","NECompletion","NECEntry"
"7","Manifest-Tests","ManifestManifestTests"
