Class Name,Instance Side Definition,Class Side Definition
RBMissingSuperSendsRule,"RBBlockLintRule subclass: #RBMissingSuperSendsRule 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBMissingSuperSendsRule class 	instanceVariableNames: ''"
ORCmdRenameInstVarRefactoring,"ORCmdInstVarRefactoring subclass: #ORCmdRenameInstVarRefactoring 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Refactory-Refactoring'","ORCmdRenameInstVarRefactoring class 	instanceVariableNames: ''"
MetacelloVersionDoesNotExistError,"Error subclass: #MetacelloVersionDoesNotExistError 	instanceVariableNames: 'project versionString' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Core-Exceptions'","MetacelloVersionDoesNotExistError class 	instanceVariableNames: ''"
HandleMorph,"EllipseMorph subclass: #HandleMorph 	instanceVariableNames: 'pointBlock lastPointBlock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets'","HandleMorph class 	instanceVariableNames: ''"
ORCriticsCommand,"ORCommand subclass: #ORCriticsCommand 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Refactory-Critics'","ORCriticsCommand class 	instanceVariableNames: ''"
OBUndoTextCommand,"OBCommand subclass: #OBUndoTextCommand 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OmniBrowser-Commands'","OBUndoTextCommand class 	instanceVariableNames: ''"
WeakValueDictionaryTest,"DictionaryTest subclass: #WeakValueDictionaryTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'CollectionsTests-Weak'","WeakValueDictionaryTest class 	instanceVariableNames: ''"
ClassBuilderFormatTests,"TestCase subclass: #ClassBuilderFormatTests 	instanceVariableNames: 'baseClass subClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'KernelTests-Classes'","ClassBuilderFormatTests class 	instanceVariableNames: ''"
EUCKRTextConverter,"EUCTextConverter subclass: #EUCKRTextConverter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-TextConversion'","EUCKRTextConverter class 	instanceVariableNames: ''"
GreekEnvironment,"LanguageEnvironment subclass: #GreekEnvironment 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-Languages'","GreekEnvironment class 	instanceVariableNames: ''"
RBAddClassVariableChange,"RBRefactoryVariableChange subclass: #RBAddClassVariableChange 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Changes'","RBAddClassVariableChange class 	instanceVariableNames: ''"
NepaleseEnvironment,"LanguageEnvironment subclass: #NepaleseEnvironment 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Multilingual-Languages'","NepaleseEnvironment class 	instanceVariableNames: ''"
PostorderGuideTest,"GuideTest subclass: #PostorderGuideTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FileSystem-Tests-Core'","PostorderGuideTest class 	instanceVariableNames: ''"
DropListMorph,"MorphicModel subclass: #DropListMorph 	uses: TEnableOnHaloMenu 	instanceVariableNames: 'contentMorph listMorph buttonMorph list listSelectionIndex getListSelector getIndexSelector setIndexSelector getEnabledSelector enabled useSelectionIndex wrapSelector defaultContents' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","DropListMorph class 	uses: TEnableOnHaloMenu classTrait 	instanceVariableNames: ''"
JoinSection,"Object subclass: #JoinSection 	instanceVariableNames: 'src dst borderWidth borderColor type width shape' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Tools-Diff'","JoinSection class 	instanceVariableNames: ''"
ZnBasicAuthenticator,"Object subclass: #ZnBasicAuthenticator 	instanceVariableNames: 'credentials realm' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Support'","ZnBasicAuthenticator class 	instanceVariableNames: ''"
PrettyTextDiffBuilder,"TextDiffBuilder subclass: #PrettyTextDiffBuilder 	instanceVariableNames: 'sourceClass' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-FilePackage'","PrettyTextDiffBuilder class 	instanceVariableNames: ''"
SystemBrowser,"AppRegistry subclass: #SystemBrowser 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Base'","SystemBrowser class 	instanceVariableNames: ''"
FTPClient,"TelnetProtocolClient subclass: #FTPClient 	instanceVariableNames: 'dataSocket' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Network-Protocols'","FTPClient class 	instanceVariableNames: ''"
SmalltalkEditingState,"EditingState subclass: #SmalltalkEditingState 	instanceVariableNames: 'selectorChooser' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Text'","SmalltalkEditingState class 	instanceVariableNames: ''"
LegacyWeakSubscription,"WeakAnnouncementSubscription weakSubclass: #LegacyWeakSubscription 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Core'","LegacyWeakSubscription class 	instanceVariableNames: ''"
TextDoIt,"TextAction subclass: #TextDoIt 	instanceVariableNames: 'evalString' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Text'","TextDoIt class 	instanceVariableNames: ''"
PrettyPrinting,"AppRegistry subclass: #PrettyPrinting 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Applications'","PrettyPrinting class 	instanceVariableNames: ''"
ZLibReadStream,"FastInflateStream subclass: #ZLibReadStream 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compression-Streams'","ZLibReadStream class 	instanceVariableNames: ''"
SimpleTestResourceCircular1,"SimpleTestResource subclass: #SimpleTestResourceCircular1 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SUnit-Tests-Core'","SimpleTestResourceCircular1 class 	instanceVariableNames: ''"
MessageList,"Object subclass: #MessageList 	instanceVariableNames: 'methodReferenceList versionsHistoryList useAsASet lastEntry sortingSelector environment dictionary sortedMethodReferencesList' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'RecentSubmissions-Core'","MessageList class 	instanceVariableNames: ''"
RBMetaclass,"RBAbstractClass subclass: #RBMetaclass 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Core-Model'","RBMetaclass class 	instanceVariableNames: ''"
RBUnpackagedCodeRule,"RBBlockLintRule subclass: #RBUnpackagedCodeRule 	instanceVariableNames: 'packages package' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Critics-BlockRules'","RBUnpackagedCodeRule class 	instanceVariableNames: ''"
ORClassDefinition,"OBClassDefinition subclass: #ORClassDefinition 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OB-Refactory-Definitions-Replacement'","ORClassDefinition class 	instanceVariableNames: ''"
LazyListMorph,"Morph subclass: #LazyListMorph 	instanceVariableNames: 'listItems font selectedRow selectedRows listSource maxWidth' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets'","LazyListMorph class 	instanceVariableNames: ''"
WeakMessageSend,"Object weakSubclass: #WeakMessageSend 	instanceVariableNames: 'selector shouldBeNil arguments' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Objects'","WeakMessageSend class 	instanceVariableNames: ''"
