Class Name,Instance Side Definition,Class Side Definition
LegacyWeakSubscription,"WeakAnnouncementSubscription weakSubclass: #LegacyWeakSubscription 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Core'","LegacyWeakSubscription class 	instanceVariableNames: ''"
SubscriptionRegistry,"Object subclass: #SubscriptionRegistry 	instanceVariableNames: 'subscriptions monitor' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Announcements-Core'","SubscriptionRegistry class 	instanceVariableNames: ''"
BasicInspector,"Inspector subclass: #BasicInspector 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Tools-Inspector'","BasicInspector class 	instanceVariableNames: ''"
TarArchive,"Archive subclass: #TarArchive 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Compression-Archives'","TarArchive class 	instanceVariableNames: ''"
TabPanelBorder,"SimpleBorder subclass: #TabPanelBorder 	instanceVariableNames: 'tabSelector' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Borders'","TabPanelBorder class 	instanceVariableNames: ''"
SupplyAnswerTests,"TestCase subclass: #SupplyAnswerTests 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MorphicTests-Widgets'","SupplyAnswerTests class 	instanceVariableNames: ''"
KMShiftModifier,"KMModifier subclass: #KMShiftModifier 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Keymapping-Shortcuts'","KMShiftModifier class 	instanceVariableNames: ''"
StrikeFontSet,"AbstractFont subclass: #StrikeFontSet 	instanceVariableNames: 'fontArray emphasis derivativeFonts name' 	classVariableNames: '' 	poolDictionaries: 'TextConstants' 	category: 'Graphics-Fonts'","StrikeFontSet class 	instanceVariableNames: ''"
NewValueHolder,"Object subclass: #NewValueHolder 	instanceVariableNames: 'announcer contents lock' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-Core'","NewValueHolder class 	instanceVariableNames: ''"
MetacelloPlatform,"Object subclass: #MetacelloPlatform 	instanceVariableNames: 'bypassProgressBars bypassGoferLoadUpdateCategories' 	classVariableNames: 'Current' 	poolDictionaries: '' 	category: 'Metacello-Core-Model'","MetacelloPlatform class 	instanceVariableNames: ''"
ProtocolRemoved,"SystemAnnouncement subclass: #ProtocolRemoved 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-Announcements'","ProtocolRemoved class 	instanceVariableNames: ''"
