Class Name,Instance Side Definition,Class Side Definition
GTClearEditorDebugAction,"DebugAction subclass: #GTClearEditorDebugAction 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'GT-Debugger-Actions'","GTClearEditorDebugAction class 	instanceVariableNames: ''"
MetacelloGroupSpecTestCase,"MetacelloSpecTestCase subclass: #MetacelloGroupSpecTestCase 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-TestsCore-Specs'","MetacelloGroupSpecTestCase class 	instanceVariableNames: ''"
OCClosureTests,"TestCase subclass: #OCClosureTests 	instanceVariableNames: 'collection' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-FromOld'","OCClosureTests class 	instanceVariableNames: ''"
FLBasicSerializationTest,"FLSerializationTest subclass: #FLBasicSerializationTest 	instanceVariableNames: 'currentTimeZone' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'FuelTests'","FLBasicSerializationTest class 	instanceVariableNames: ''"
GLMBrickPopupSuccessThemer,"GLMBrickPopupThemer subclass: #GLMBrickPopupSuccessThemer 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Brick-Widgets-UI-Popup-Themer'","GLMBrickPopupSuccessThemer class 	instanceVariableNames: ''"
SDL2Structure,"FFIExternalStructure subclass: #SDL2Structure 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: 'SDL2Constants SDL2Types' 	category: 'OSWindow-SDL2-Bindings'","SDL2Structure class 	instanceVariableNames: ''"
TestSessionHandler,"AbstractSessionHandler subclass: #TestSessionHandler 	instanceVariableNames: 'startupHandler shutdownHandler' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'System-SessionManager-Tests'","TestSessionHandler class 	instanceVariableNames: ''"
MorphicTickingWindowAdapter,"MorphicWindowAdapter subclass: #MorphicTickingWindowAdapter 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Spec-MorphicAdapters'","MorphicTickingWindowAdapter class 	instanceVariableNames: ''"
MCGitlabRepository,"MCGitBasedNetworkRepository subclass: #MCGitlabRepository 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-Gitlab'","MCGitlabRepository class 	instanceVariableNames: ''"
OCClosureCompilerTest,"TestCase subclass: #OCClosureCompilerTest 	instanceVariableNames: 'currentCompiler' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OpalCompiler-Tests-FromOld'","OCClosureCompilerTest class 	instanceVariableNames: ''"
BIConfigurableFormatter,"RBProgramNodeVisitor subclass: #BIConfigurableFormatter 	instanceVariableNames: 'codeStream indent lookaheadCode originalSource lineStart context isInCascadeNode' 	classVariableNames: 'DefaultPrettyPrintContext FormatAsYouReadPolicy' 	poolDictionaries: '' 	category: 'BlueInk-Core'","BIConfigurableFormatter class 	instanceVariableNames: ''"
ZnCredential,"Object subclass: #ZnCredential 	instanceVariableNames: 'domain realm' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Support'","ZnCredential class 	instanceVariableNames: ''"
IceAuthenticationError,"IceError subclass: #IceAuthenticationError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-Errors'","IceAuthenticationError class 	instanceVariableNames: ''"
RubTextAcceptedInModel,"RubAnnouncement subclass: #RubTextAcceptedInModel 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Rubric-Editing-Announcements'","RubTextAcceptedInModel class 	instanceVariableNames: ''"
KomitTreeBuilder,"Object subclass: #KomitTreeBuilder 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Komitter-UI'","KomitTreeBuilder class 	instanceVariableNames: ''"
LGitPackBuilder,"LGitExternalObject subclass: #LGitPackBuilder 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'LibGit-Core-HelperObjects'","LGitPackBuilder class 	instanceVariableNames: ''"
MFClassB,"Object subclass: #MFClassB 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Manifest-Resources-Tests'","MFClassB class 	instanceVariableNames: ''"
SugsDeprecateMethod,"SugsSuggestion subclass: #SugsDeprecateMethod 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SmartSuggestions-Suggestion'","SugsDeprecateMethod class 	instanceVariableNames: ''"
GLMBrickLayoutProperties,"TableLayoutProperties subclass: #GLMBrickLayoutProperties 	instanceVariableNames: 'floating hAlign heightDependencies maxHeight maxWidth minHeight vAlign widthDependencies zIndex minWidth isDirty hState vState' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Glamour-Morphic-Brick-Layouts'","GLMBrickLayoutProperties class 	instanceVariableNames: ''"
WaitfreeQueue,"AtomicCollection subclass: #WaitfreeQueue 	instanceVariableNames: 'tail dummy' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Atomic'","WaitfreeQueue class 	instanceVariableNames: ''"
MetacelloPrePostLoadDirective,"MetacelloDirective subclass: #MetacelloPrePostLoadDirective 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Metacello-MC-Directives'","MetacelloPrePostLoadDirective class 	instanceVariableNames: ''"
RBSmalllintTestNoClassCommentObject,"RBSmalllintTestSuperclassObject subclass: #RBSmalllintTestNoClassCommentObject 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Refactoring-Tests-Critics'","RBSmalllintTestNoClassCommentObject class 	instanceVariableNames: ''"
WindowOpened,"WindowAnnouncement subclass: #WindowOpened 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Morphic-Widgets-Windows-Announcements'","WindowOpened class 	instanceVariableNames: ''"
CharacterSetComplement,"Collection subclass: #CharacterSetComplement 	instanceVariableNames: 'absent byteArrayMapCache' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Support'","CharacterSetComplement class 	instanceVariableNames: ''"
ClassAPIHelpBuilderTest,"TestCase subclass: #ClassAPIHelpBuilderTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'HelpSystem-Tests-Builders'","ClassAPIHelpBuilderTest class 	instanceVariableNames: ''"
ZnDefaultServerDelegate,"Object subclass: #ZnDefaultServerDelegate 	instanceVariableNames: 'prefixMap byteArray' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Client-Server'","ZnDefaultServerDelegate class 	instanceVariableNames: ''"
OSJoyDeviceEvent,"OSEvent subclass: #OSJoyDeviceEvent 	instanceVariableNames: 'which mapped hasMapping' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'OSWindow-Core-Events'","OSJoyDeviceEvent class 	instanceVariableNames: ''"
EpCategoryChange,"EpCodeChange subclass: #EpCategoryChange 	instanceVariableNames: 'classCategoryName affectedPackageName' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Epicea-Model'","EpCategoryChange class 	instanceVariableNames: ''"
Stream,"Object subclass: #Stream 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Collections-Streams'","Stream class 	instanceVariableNames: ''"
ClassHierarchyTest,"TestCase subclass: #ClassHierarchyTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Kernel-Tests-Classes'","ClassHierarchyTest class 	instanceVariableNames: ''"
ZnParseError,"Error subclass: #ZnParseError 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Zinc-HTTP-Exceptions'","ZnParseError class 	instanceVariableNames: ''"
MCSystemCategoryParser,"MCDoItParser subclass: #MCSystemCategoryParser 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Monticello-Chunk Format'","MCSystemCategoryParser class 	instanceVariableNames: ''"
ReflectivityCodeMorph,"Morph subclass: #ReflectivityCodeMorph 	instanceVariableNames: 'textModel compiledMethod' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Reflectivity-Examples'","ReflectivityCodeMorph class 	instanceVariableNames: ''"
FBDDecompiler,"InstructionClient subclass: #FBDDecompiler 	instanceVariableNames: 'simulatedStack builder instructionStream currentSequence argCount tempCount jumpSize loopsArray' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Flashback-Decompiler'","FBDDecompiler class 	instanceVariableNames: ''"
IceGitHubCreatePullRequestModel,"ComposableModel subclass: #IceGitHubCreatePullRequestModel 	instanceVariableNames: 'repository titleLabel titlePanel headLabel headForkList headBranchList baseLabel baseForkList baseBranchList bodyLabel bodyPanel addButton acceptBlock availableRemotes availableBranchNames baseRemote gitRepositoryInfo credentials baseBranches headRemote' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Iceberg-Plugin-GitHub-View'","IceGitHubCreatePullRequestModel class 	instanceVariableNames: ''"
TonelWriterTest,"MCTestCase subclass: #TonelWriterTest 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'MonticelloTonel-Tests'","TonelWriterTest class 	instanceVariableNames: ''"
SugsMenuBuilder,"Object subclass: #SugsMenuBuilder 	instanceVariableNames: '' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'SmartSuggestions-Menu'","SugsMenuBuilder class 	instanceVariableNames: ''"
DropListMorph,"MorphicModel subclass: #DropListMorph 	uses: TEnableOnHaloMenu 	instanceVariableNames: 'contentMorph listMorph buttonMorph list listSelectionIndex getListSelector getIndexSelector setIndexSelector getEnabledSelector enabled useSelectionIndex wrapSelector defaultContents' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Polymorph-Widgets'","DropListMorph class 	uses: TEnableOnHaloMenu classTrait 	instanceVariableNames: ''"
AthensBalloonEngine,"BalloonEngine subclass: #AthensBalloonEngine 	instanceVariableNames: 'currentFill' 	classVariableNames: '' 	poolDictionaries: '' 	category: 'Athens-Balloon'","AthensBalloonEngine class 	instanceVariableNames: ''"
CatalogProvider,"Object subclass: #CatalogProvider 	instanceVariableNames: 'projects lastModified session' 	classVariableNames: 'Default' 	poolDictionaries: '' 	category: 'Tool-Catalog-Base'","CatalogProvider class 	instanceVariableNames: ''"
