"class","comment"
"SugsStoresIntoInstVar","I know how to find stores into for an instance var"
"ManifestRingCoreKernel","Manifest for DEPRECATED package of Ring"
"FailingTestResourceTestCase","SUnit tests for failing test resources"
"IceTipAddSSHCredentialsModel","I implement the dialog to add SSH credentials."
"OCThisContextVariable","I model thisContext variables"
"EpClassChange","I represent a change in the definition of a class."
"OSWindowExposeEvent","I am delivered when part (or whole) window are exposed on the desktop and needs refreshing."
"FillStyleBorder","BorderStyle supporting general (potentially composite) fillstyles. "
"RGContainerTest","SUnit tests for container"
"IceTipAbstractCredentialCommand","I am the common class of all the commands over an specific credential."
"ClyClassContextOfFullBrowser","I am a context of selected classes in full browser"
"FFIExternalEnumerationTests","Tests for external enumerations"
"FLPrimitiveCluster","I am a cluster that serializes and materializes interacting directly with the stream."
"TApplyingOnClassSide","Kernel trait for applying on the class side"
"InlineTextDiffBuilder","Line based Text diff builder"
"WatchpointWindow","I am a minimal user interface that shows the last entries in the watchpoint history."
"GLMPortReference","A PortReference is used in Transmissions to bahavior that is specific to a Transmission instance."
"RPackageTestCase","Common superclass for RPackage related tests"
"ClyClassWithFlags","I am example class which has methods with flag"
"MCWorkingHistoryBrowser","Browser for working history"
"WeakIdentityValueDictionaryTests","SUnit tests for WeakIdentityValueDictionaty"
"AndreasSystemProfilerTest","SUnit tests for AndreasSystemProfiler"
"EpHelp","Help for Epicea project."
"TIndexAccess","A trait for test purposes"
"EmptyLayout","Empty top-level layout used to delimit the layout chains."
"FLContextSerializationTest","SUnit tests for fuel serialization of methods contexts"
"ClassTagAdded","I am announced when new class tag is added into package"
"OSWindowMoveEvent","I am delivered when window moved by user or OS/window manager."
"MCClassDefinition","A MCClassDefinition represents a class."
"ZnEndianessReadWriteStream","I am a stream decorator that knows how to read and write little endian numbers from my underlying stream."
"FTOutline","I am the FT_Outline mapping."
"RFASTTranslator","subclass of Opal that takes links into account"
"EpBehaviorNameChange","I represent a rename of a class or a trait."
"SugsDeprecateMethod","I know how to deprecate method."
"PreorderGuideTest","SUnit tests for class PreorderGuide"
"OSTouchRotationEvent","Superclass of all rotation events"
"FLSerializationError","I represent an error happened during serialization."
"LockableTabMorph","I am a tab which can be locked/unlocked with according action and icon"
"ExampleForTest12","An example class at level 2 (indirectly below Object) used for testing class hierarchy"
"FindReplaceService","Model for a find and replace service in editors"
"FastTablePresenter","An FastTablePresenter is a spec presenter for a FastTable"
"PrivacyChangedAnnoucement","I announce  changes on Privacy settings in SystemAnnouncer uniqueInstance."
"HelpBrowserTest","SUnit tests for the help browser"
"IceTipGitHubRepositoryPanel","I'm a presenter to define a new remote repository from a github repository (owner/project)."
"IdentityTransform","Identity transformation"
"EpLogBrowserOperationVisitor","I am an abstract superclass useful for visitors of EpLogBrowserOperation."
"FLPositive64SmallIntegerCluster","unsigned, 64-bit integer"
"PharoSyntaxTutorialTest","SUnit tests for PharoSyntaxTutorial"
"ClySortMethodByPackageFunction","See comment of my collate:with: method"
"ClyCritiqueMenuItemMorph","I simulate the functionality of MenuItemMorph while providing more sophisticated visualization for rubric annotations "
"GLMMorphicPagerRenderer","A GLMMorphicPagerRenderer is xxxxxxxxx."
"StrikeFontStoredSetting","I am responsible for storing information about StrikeFont objects."
"FLSingletonMockEnforced","A test mock where a new instance is enforced"
"GoferMerge","Merge work"
"RBAddClassTraitChange","I am a refactoring change for a class trait  addition, the meta side of a trait definition."
"ManifestCollectionsStrings","Contains String, ByteString, Symbol, ByteSymbol, WideSymbol and WideString"
"MCReader","Common superclass for Monticello readers"
"RFNewValueReification","reify newValue"
"EpBehaviorChange","I represent a change in a class or a trait."
"AllocationTest","Test originally from Andreas Raab"
"TickSelectionCheckboxButtonMorph","A TickSelectionCheckboxButtonMorph is the button hidden into the TickSelectionCheckboxMorph"
"ManifestFiles","Includes file and directory handling as well as file streams"
"MCVersionLoaderStopped","Announcement sent when a Version has finished loading"
"ExampleForTest11","An example class at level 2 (indirectly below Object) used for testing class hierarchy"
"NECVarTypeGuesser","I'm an InstructionClient that tries to guess the type of a given instance variable name of a class. "
"SpecDemoCheckboxesPage","Demo page for SpecDemoCheckboxesPresenter"
"WideCharacterSetTest","WideCharacterSetTest holds tests for WideCharacterSet"
"RbScriptingSetBeforeModel","You have to call scripting methods after #model: or it will not work"
"FFICompilerPluginTests","Tests for FFICompilerPlugin"
"MorphicImageAdapter","I am the bridge between an ImagePresenter and a AlphaImageMorph"
"TAddForUniquenessTest","A trait for test purposes"
"AnimationSettings","Animation settings"
"RFReceiverReification","I reify the receiver of a Message or a method"
"GLMPopupBrick","I am a popup with an action button hint text"
"RGNamespace","A namespace is a container that in addition to managing classes and methods, it also knows how to treat pools and global variables"
"SDL_Version","A structure that contains information about the version of SDL in use. "
"DateAndTimeTest","SUnit tests for date and time"
"EpMethodRemoval","I represent a removal of a method in a class or a trait."
"RubSmalltalkCodeMode","I represent the mode to use for editing smalltalk code"
"ManifestSystemLocalization","Localization support"
"ManifestCollectionsSupport","Some basic classes used in collections: Link, Associtation, Weak*, CharacterSet, SetElement, etc."
"ClySugsMethodContext","I provide compatibility of ClyMethodEditor with suggestions menu"
"IceGitHubBranchSelectCommand","This command represent the commands with submenus to select remotes"
"NNavDirectionParent","I'm the one who knows how to navigate going to the parent node."
"RubPrimarySelectionUpdatedInModel","I am raised when the selection changes in the model side"
"GTDebuggerSystemSettings","I register settings only needed for GTDebugger."
"NavigationHistory","I act as a web browser history"
"Model","Provides optimized model support"
"MorphTreeColumn","A column in a morphic based tree"
"KMKeymapTest","SUnit tests for the key map"
"RBPharoBootstrapRule","I check that packages constituing the Pharo Bootstrap do not depend on any other package."
"AbstractEnumerationVisitorTest","SUnit tests for AbstractEnumerationVisitor"
"RePatternCodeRule","An abstract class containing common tools for match and rewrite rules"
"RFSenderReification","I reify the sender for message sends and methods"
"ClyClassSideBoldTableDecorator","I decorate table with bold font for method groups and methods when full browser shows the class side"
"RBSearchingLiteralRule","Checks for repeated literal equalitity tests that should rather be implemented as a search in a literal collection."
"FLTraitSerializationTest","I have the common behavior for testing trait serialization."
"RBIfTrueReturnsRule","Checks for common ifTrue: returns that could be simplified using a boolean expression."
"ClyOverriddenMethodTag","I mark overridden methods which are overridden by any of subclasses"
"IceTipAction","I'm like a lightweight command, used in general for apply concrete actions. "
"GTBrowseMethodDebuggerAction","I am a debugging action for browsing the currently selected class."
"EpBehaviorCommentChange","I represent a change in the comment of a class or a trait."
"SmallDictionaryTest","SUnit tests for small dictionaries"
"TimeTest","This is the unit test for the class Time."
"ClySpotterModel","I'm a model to collect options for ""spotter navigation"" mode in a full browser."
"MD5Test","SUnit tests for MD5"
"FIFOQueueTests","SUnit tests for FIFO queues"
"EpProtocolChange","I represent a change in the protocols of a class."
"KeyNotFound","I am KeyNotFound, an exception indicating that a key was not found in a Dictionary."
"PackageNodeExample","Example for a pakage node"
"LargeNegativeInteger","Just like LargePositiveInteger, but represents a negative number."
"RPackageRenamed","I am a public announcement sent when a new RPackage is renamed"
"ProportionalLayout","I represent a layout that places all children of some morph in their given LayoutFrame."
"GRTemporaryNeitherReadNorWrittenRule","There is something wrong in the method as you have variables that are either nor read or not written (or both)."
"SparseLargeArray","A version of SparseLargeTable that does not populate its bins until a value other than the default is stored.!"
"GLMLipsumWithSegmentsExample","self new open"
"OSTouchGestureNeedingThresholdDetector","I am a gesture detector for gestures who has to travel a certain distance before being detected"
"TOccurrencesTest","A trait for test purposes"
"ShAbstractClassBuilderTest","Abstract Test class for the Shift Class Builder tests"
"GTSpotterEventCollectorTest","A GTSpotterEventCollectorTest is a test class for testing the behavior of GTSpotterEventCollector"
"FinderClassNode","A FinderClassNode is a node used by the FinderUI's tree representing a Class"
"RBAddMetaclassChange","I am a refactoring change for the class side of a class addition."
"LazyClassListExample","LazyClassListExample new openOn: Object"
"FFITestStructureByPlatform","A structure for test purposes"
"OSTouchThreeFingersScrollEndEvent","Three fingers finished to scroll"
"OSTouchOneFingerHoldEvent","One finger is down and has not moved on the screen"
"BehaviorTest","SUnit tests for Behavior"
"WeakRegistryTest","A trait for test purposes"
"SDL2","A bunch of functions in a single class for accessing SDL2 interface"
"AdditionalMethodStateTest","SUnit tests for AdditionalMethodState"
"ColorChooserMorph","ColorPresenter that opens a colour selector when clicked."
"ShNoChangesInClass","This notification is raised if there is no changes in a class when invoked the class builder."
"SDL_MouseButtonEvent","SDL2 library structure"
"FLGlobalCluster","I am a cluster for objects that are reachables from Smalltalk global dictionary."
"EyeMethodContextInspector","I am an eye inspector specified for MethodContext"
"MCMockAPoolDictionary","Mocking a pool"
"ZipWriteStreamTests","Unit tests for ZipWriteStream"
"ClyExplicitAbstractClassExample","I am example of a class which is explicitly definined as abstract by overrideing class side method #isAbstract"
"TDictionaryImplementationTest","A trait for test purposes"
"ReSettings","i have settings for QA recording functions"
"IceTipRemoveFromRepositoryPackageCommand","Command that removes a package from the repository, without removing it from the system."
"CannotDeleteFileException","Notfify when not able to delete"
"Abort","Notify to abort a task"
"RenrakuRuleCreationHelp","Each rule has a few fundamental features to implement in this book with will walk through all the steps of rule creation"
"CallbackForWin64X64","A CallbackForWin64X64 is a callback for platforms with x64/x86_64 processors using the Win64 ABI."
"ManifestNetworkUUID","A package providing Universally Unique Identifiers (UUID) following RFC4122."
"RBRefactoringClassesHelp","All exising RBRefactorings "
"OmSessionStoreUpdated","I am announced when a OmSessionStore updated its current #store."
"FLSmallIntegerCluster","I don't have so much sense as a class."
"IceNothingToCommit","I indicate when there is nothing to commit (and you tried to do it)"
"SortFunctionTest","Unit test for sort functions"
"MCSubDirectoryRepositoryTest","I am not a subclass of MCRepositoryTest because my purpose was to show that a bug had been fixed and my author didn't feel like implementing all the reuirements of MCRepositoryTests"
"ReLogExceptionStrategy","Report exception as a property (critique) which can be debuged afterwards"
"FFIExternalStructurePlatformTests","Tests for external structures on platform"
"RubCancelEditRequested","I am raised when edits are cancelled in the text area"
"FormCanvas","Note that when shadowDrawing is true, shadowStipple may be either a color, for a solid shadow of the given color, or it may be a stipple used to simulate gray shading when the display cannot support alpha blending."
"RBBrowserEnvironmentsClassesHelp","Book from RBBrowserEnvironments classes"
"DADependentPackageItemDiff","A PDDependentPackageItemDiff is a object which represent a dependent package who added/modified/removed from an old analysis."
"FLSerializationTest","Superclass for serialization tests"
"LGitSafeFFICalloutMethodBuilder","I'm a variant of FFICalloutMethodBuilder  that adds a call to  #signalIfNotReady  before the actual ffi call."
"WeakKeyAssociation","I am an association holding only weakly on my key."
"ClyAbstractClassExample","I am example of class with abstract methods"
"SHStyleElement","A Shout style element"
"TonelCommentScanner","I scan comments."
"ReTestClassNotInPackageWithTestEndingName","A subclass of TestCase should be in package which name is ending with '-Tests'"
"RBLiteralArrayCharactersRule","Literal arrays containing only characters can more efficiently represented as strings."
"PointerLayout","I am the superclass for all layouts with Slots."
"ShSuperclassChangedDetector","I detect if there is a change in the superclass"
"SpaceTallyItem","I'm represent an entry in the spaceTally."
"StoredSettingsMergerTest","A StoredSettingsMergerTest is a test class for testing the behavior of StoredSettingsMerger"
"MetacelloLookupProjectSpecForLoad","**MetacelloLookupProjectSpecForLoad** ends up returning an instance of **MetacelloProjectSpecForLoad**"
"GLMBrickRubricStyle","I'm a style module related to a rubric text fields and its componenets"
"RBAddProtocolChange","RBRefactoryProtocolChange is responsible for adding a protocol in classes in a RB model"
"EpLogBrowserOperation","I represent an operation done in a EpLogBrowser."
"CannotDecompileNativeBoostCalls","Notify that a method can not be decompiled because of a native boost call"
"ReEntityCriticized","I am an event of an entity being criticized by the rules. Happens when #critics is called"
"IllegalResumeAttempt","This class is private to the EHS implementation.  An instance of it is signaled whenever an attempt is made to resume from an exception which answers false to #isResumable."
"IceTipCommitDiffModel","I'm a ""static"" diff. I represent a diff between two concrete commits."
"LGitDiffDelta","I represent the difference between two entities (e.g. two files). If one of the entities is new or deleted the ""nfiles"" field will hold be set to 1, otherwise it will be set to 2."
"ClyInheritedTraitScope","I represent class scope of all inherited traits excluding basis.I see methods of all traits which are used by my basis classes or traits"
"OSTouchActionPointerEvent","Superclass of all the pointer Event	Can be a finger or something else."
"OSWindowEventVisitor","i am a abstract visitor for handling events.. serving just to cover complete protocol, which user(s) will need to implement in order to act as an OSWindow event handler."
"ImageModel","This is deprecated class because the original class ImageModel was renamed to ImagePresenter. You should stop to use this class and modify your code to use ImagePresenter."
"TextDoIt","A doIt action on a text. When the text is clicked the text is seen as source code and evaluated"
"BISettingPreviewer","Preview to see the effect of a setting on the behavior of the pretty printer.self new openWithSpec "
"RBAddPoolVariableChange","I am a refactoring for a pool  variable addition. My changes are executed on the instance side."
"TickingWindowModel","This is deprecated class because the original class TickingWindowModel was renamed to TickingWindowPresenter. You should stop to use this class and modify your code to use TickingWindowPresenter."
"IceTipCommand","I'm a generic iceberg command. My children implement real functionality available through iceberg tools."
"IceTipItemPosition","I'm a position in a toolbar.My children define where IceTipToolbarItem instance will be located. "
"KMPragmaKeymapBuilder","I am a singleton object, subscribed to system events, to listen to the creation of methods marked with the <keymap> and keymap:> pragmas.When I listen one of those events, I reinitialize the KMRepository default instance and reload it with all declared keymaps."
"RGSlice","A slice is an arbitrary container of elements (working unit)By inheritance it knows how to treat classes and methods"
"TreeNodeModel","This is deprecated class because the original class TreeNodeModel was renamed to TreeNodePresenter. You should stop to use this class and modify your code to use TreeNodePresenter."
"ClyTraitMethodDecorator","I decorate table with special icon for methods which are defined in traits.Notice that I only apply decoration when selected class is different than method defining trait"
"TextModel","This is deprecated class because the original class TextModel was renamed to TextPresenter. You should stop to use this class and modify your code to use TextPresenter."
"RBSendsMethodDictRule","Nobody should directly access the method dictionary. It is purely an implementation artefact that we use one dictionary and it might change in the future."
"SpecPragmaCollector","A SpecPragmaCollector is a specialized PragmaCollector.Sonce we just want specs defined on class side, we do not have to check the whole system, then to restrain."
"GLMWindowRequest","I indicate to the renderer to execute a message on the window that rendered this presentation. It will only execute if the presentation is directly rendered in a window (i.e., if this is the presentation to which #openWith: was sent)"
"TraitAlias","It is kept for compatibility with extension methodsCheck the class TaAbstractComposition for the new implementation."
"DADependencyFromClass","A PDDependencyFromClass is a dependency from the class. The source class is stored in the inst var."
"ReExceptionProperty","This property represents exceptions that occured during other properties computation. This way tools can work witout interuptions, but users will be aware the there were some exceptions."
"VTermTestRunner","I am command line test runner. I run a TestSuite and outpout the progress in a terminal friendly way with XTerm characters."
"Notification","A Notification is an indication that something interesting has occurred.  If it is not handled, it will pass by without effect."
"NOCModel","I keep the state of the ocompletion algorithm. See comments of my parents for details. "
"ProtocolAdded","This class is not used, but should be used when we hook into the addition and removal of protocols. Right now, we only get ClassReorganizedAnnouncement"
"BalloonEngine","BalloonEngine is the representative for the Balloon engine inside Squeak. For most purposes it should not be used directly but via BalloonCanvas since this ensures proper initialization and is polymorphic with other canvas uses."
"RBRemoveClassChange","I am a class refactoring change for removing a class. On execution, my class will be removed from the system (all globals)."
"IceUnbornProjectReader","I create unborn projects from a commitish if it is HEAD and it does not have a '.project' file."
"FLMaterialization","I implement the algorithm for materializing an object graph on a stream. FLMaterializer known how to build instances of me."
"ClyGroupedCritiqueResult","I am critique query result which group given critiques by group name.I represent these groups with ClyConcreteCritiqueMethodGroup instances"
"HaltOnCountIconStyler","I'm in charge to style  the editor for  a ""haltOnCount:"". Clicking on it resets the counter."
"AthensCubicBezier","Cubic bezier with 4 control points encapsulation.Main purpose of this class is to keep subdivision logic in clean and separate place"
"TabManagerModel","This is deprecated class because the original class TabManagerModel was renamed to TabManagerPresenter. You should stop to use this class and modify your code to use TabManagerPresenter."
"IceSemanticVersion","I represent the semver (http://semver.org) of libgit2. Since I exist just to be able to compare versions, I'm limited (reason why I'm not promoted to a more general package)."
"OverridesDeprecatedMethodRule","The method overrided a deprecated method. This is a sign that an API has changed in an upstream project and most likely the method should override another one"
"TPointAccess","Contains methods for accessing points stored in variable word classes.Initially used by PointArray & ShortPointArray"
"NECPreferences","I control the preferences for completion framework. It is the same for NECompletion and NOCompletion (and other potential completion algorithms should be configured here too)"
"FinderPragmaMethodNode","A FinderPragmaMethodNode is a method node for a selector name found by the pragma collector. Unlike a FinderMethod node, this node is not bound to unique compiled method, it is just the selector."
"RBAddClassVariableChange","I am a refactoring for a class variable addition. My changes are executed on the instance side."
"GLMDropDownListPresentation","A GLMDropDownListPresentation is takes a list of objects and displays them in a drop down view.For an example see GLMBasicExamples>>#dropDownList"
"GTRawObjectVariablesBrowser","This is a helper browser for the Raw view in the GTInspector. It provides an overview of the slots and it offers an evaluator."
"MCCodeTool","MCCodeTool is an abstract superclass for those Monticello browsers that display code.It contains copies of the various CodeHolder methods that perform the various menu operations in the method list."
"IceGitHubPullRequestDataSource","I'm a datasource for pull request status, to be used when showing pull requests details. See IceGitHubPullRequestDetailModel"
"GTBytecodeDebuggerSession","I provide debugging actions at the level of the bytecode.I also make sure  that step over only goes over one single bytecode instruction."
"GLMAnnouncer","This is a specialization of the Announcer. The main added functionality is the ability to suspend the announcements from this announcer."
"MethodAdded","This announcement is emited when we add a method to a class or a trait using:	=> Behavior >> compile: or TraitBehavior >> compile:"
"ShSmalltalkGlobalsEnvironment","I represent the Smalltalk globals environment. I am used to generate the classes by the ShiftClassBuilder when it is using directly the Smalltalk environment."
"ZnRequestResponseHandledEvent","ZnRequestResponseHandledEvent signals that the handler (delegate) processed a request and produced a response in duration in milliseconds. This duration is thus the time taken by the application itself."
"IceTipInstallVersionCommand","Command used in the version browser, inside the code browser.This command takes the selected version and installs it (also called revert)."
"IceTipPullCommand","I'm a command to perform a pull of incomming commits. I open a pull view window."
"RBNullFormatter","A simple null formatter that just delegates  to source code and is not good when nodes are reflectively built.Will be replaced by RBSimpleFormatter"
"TraitMethodDescription","Used by Trait to encapsulates a collection of methods for one particular selector when querying for changes. According to the number and kind of those methods a provided method exists, there is a conflict or there are no provided nor conflicting methods at all. I provide the interface to query for those situations, e.g., effectiveMethod returns the provided method or the conflict marker method."
"HECharacter","I represent a character.I serialize myself as a String of a single character.When I am readed back I just read the first character of the value.My value is always a String"
"RBRemoveParameterRefactoring","I am a refactoring for removing (unused) arguments.My preconditions verify that the argument to be removed is not referenced by the methods and that the new method name isn't alread used.Any sender of the prior selector will be changed to the new.If the method contains more than one argument, I request the user to choose one of the arguments."
"SycMethodCommand","I am a base class for commands which perform operations with collection of methods.Internal Representation and Key Implementation Points.    Instance Variables	methods:		<Colletion of<CompiledMethod>>"
"GLMEmptyPopupBrick","I am a general popup widget that also visually preserves a context of a trigger element.I can opened based on opening strategy (hover, shift + hover, or double click + shift).Subclasses should implement #onCreated method to customize popup content"
"SycNewClassCreationCommand","I am a base class for commands which create new class.They all needs new class nameInternal Representation and Key Implementation Points.    Instance Variables	newClassName:		<String>"
"FFICallbackType","I'm a FFICallback type. I can handle callback type parameters.What I actually do is to pass the content of #thunk instVar of the objectClass as parameter. Thunk needs to be a callback thunk (and then an ExternalAddress).The C side of a callback is void* (because is a pointer to a function)"
"AthensFontDescription","Creates a new font description from a string representation in the form ""[FAMILY-LIST] [STYLE-OPTIONS] [SIZE]"", 1)FAMILY-LIST is a comma separated list of families optionally terminated by a comma,2)STYLE_OPTIONS is a whitespace separated list of words where each WORD describes one of style, variant, weight, stretch, or gravity. If STYLE-OPTIONS is missing, then all style options will be set to the default values3)SIZE is a decimal number (size in points) or optionally followed by the unit modifier ""px"" for absolute size. "
"AthensCairoSurface","i am a concrete implementation of Athens surface which using cairo graphics library for rendering.Cairo library, by itself can have multiple surface types.This class uses image surface (a bitmap located in system memory) and maps to cairo_image_surface_t* C type.**NOTE**As a workaround of bitblt bug, the actual Cairo surfaces, created internally is with 1 extra pixel higher than requested. This is, however completely hidden from users."
